prob_SI	reg_202101	reg_202103	b2_202101	b2_202103	 gan_202101 	 gan_202103 	regacum_202101	regacum_202103	 ganacum_202101 	 ganacum_202103 
63.64%	11	11	3	1	" 218,000 "	" 58,000 "	11	11	" 218,000 "	" 58,000 "
46.15%	13	9	2	1	" 134,000 "	" 62,000 "	24	20	" 352,000 "	" 120,000 "
36.14%	321	304	61	49	" 4,238,000 "	" 3,312,000 "	345	324	" 4,590,000 "	" 3,432,000 "
33.33%	9	15	0	1	" (18,000)"	" 50,000 "	354	339	" 4,572,000 "	" 3,482,000 "
30.00%	20	22	3	0	" 200,000 "	" (44,000)"	374	361	" 4,772,000 "	" 3,438,000 "
26.32%	38	43	2	4	" 84,000 "	" 234,000 "	412	404	" 4,856,000 "	" 3,672,000 "
25.00%	12	4	1	0	" 56,000 "	" (8,000)"	424	408	" 4,912,000 "	" 3,664,000 "
23.53%	17	15	2	0	" 126,000 "	" (30,000)"	441	423	" 5,038,000 "	" 3,634,000 "
22.22%	18	24	4	1	" 284,000 "	" 32,000 "	459	447	" 5,322,000 "	" 3,666,000 "
21.43%	14	17	2	1	" 132,000 "	" 46,000 "	473	464	" 5,454,000 "	" 3,712,000 "
20.97%	267	213	44	14	" 2,986,000 "	" 694,000 "	740	677	" 8,440,000 "	" 4,406,000 "
20.42%	867	877	107	100	" 6,826,000 "	" 6,246,000 "	1607	1554	" 15,266,000 "	" 10,652,000 "
20.00%	10	9	0	0	" (20,000)"	" (18,000)"	1617	1563	" 15,246,000 "	" 10,634,000 "
19.05%	21	36	3	0	" 198,000 "	" (72,000)"	1638	1599	" 15,444,000 "	" 10,562,000 "
17.65%	17	25	2	0	" 126,000 "	" (50,000)"	1655	1624	" 15,570,000 "	" 10,512,000 "
16.25%	400	394	28	25	" 1,440,000 "	" 1,212,000 "	2055	2018	" 17,010,000 "	" 11,724,000 "
15.38%	26	32	1	0	" 28,000 "	" (64,000)"	2081	2050	" 17,038,000 "	" 11,660,000 "
14.55%	110	89	7	1	" 340,000 "	" (98,000)"	2191	2139	" 17,378,000 "	" 11,562,000 "
12.50%	40	34	2	0	" 80,000 "	" (68,000)"	2231	2173	" 17,458,000 "	" 11,494,000 "
11.76%	17	19	1	0	" 46,000 "	" (38,000)"	2248	2192	" 17,504,000 "	" 11,456,000 "
11.60%	362	281	29	12	" 1,596,000 "	" 398,000 "	2610	2473	" 19,100,000 "	" 11,854,000 "
11.11%	18	34	2	0	" 124,000 "	" (68,000)"	2628	2507	" 19,224,000 "	" 11,786,000 "
